sample_id,station_id,parameter_id,date_id,source,value,is_exceedance
S-00084,ST-01,PM-01,DT-0011,LabA,2.025,0
S-00085,ST-01,PM-02,DT-0011,LabA,1.179,0
S-00086,ST-01,PM-04,DT-0011,LabA,16.54,0
S-00087,ST-04,PM-01,DT-0011,LabA,6.608,1
S-00088,ST-04,PM-04,DT-0011,LabA,10.992,0
S-00089,ST-02,PM-01,DT-0012,LabA,2.129,0
S-00090,ST-03,PM-05,DT-0012,LabA,7.71,0
S-00091,ST-03,PM-03,DT-0012,LabA,0.208,0
S-00092,ST-01,PM-01,DT-0012,LabA,4.198,0
S-00093,ST-01,PM-02,DT-0012,LabA,0.961,0
S-00094,ST-01,PM-04,DT-0012,LabA,7.678,0
S-00095,ST-04,PM-01,DT-0012,LabA,1.935,0
S-00096,ST-04,PM-04,DT-0012,LabA,10.249,0
S-00097,ST-02,PM-05,DT-0001,LabB,7.033,0
S-00098,ST-02,PM-02,DT-0001,LabB,0.268,0
S-00099,ST-02,PM-03,DT-0001,LabB,0.387,0
S-00100,ST-02,PM-04,DT-0001,LabB,14.382,0
S-00101,ST-03,PM-01,DT-0001,LabB,0,0
S-00102,ST-03,PM-02,DT-0001,LabB,0.598,0
S-00103,ST-03,PM-04,DT-0001,LabB,12.668,0
S-00104,ST-01,PM-05,DT-0001,LabB,15.389,1
S-00105,ST-01,PM-03,DT-0001,LabB,0.449,0
S-00106,ST-04,PM-05,DT-0001,LabB,7.096,0
S-00107,ST-04,PM-02,DT-0001,LabB,0.423,0
S-00108,ST-04,PM-03,DT-0001,LabB,0.783,0
S-00109,ST-02,PM-05,DT-0002,LabB,16.349,1
S-00110,ST-02,PM-02,DT-0002,LabB,1.025,0
S-00111,ST-02,PM-03,DT-0002,LabB,0.238,0
S-00112,ST-02,PM-04,DT-0002,LabB,12.744,0
S-00113,ST-03,PM-01,DT-0002,LabB,10.496,1
S-00114,ST-03,PM-02,DT-0002,LabB,0.75,0
S-00115,ST-03,PM-04,DT-0002,LabB,18.957,0
S-00116,ST-01,PM-05,DT-0002,LabB,7.408,0
S-00117,ST-01,PM-03,DT-0002,LabB,0.45,0
S-00118,ST-04,PM-05,DT-0002,LabB,7.351,0
S-00119,ST-04,PM-02,DT-0002,LabB,3.736,1
S-00120,ST-04,PM-03,DT-0002,LabB,0.261,0
S-00121,ST-02,PM-05,DT-0003,LabB,16.857,1
S-00122,ST-02,PM-02,DT-0003,LabB,0.764,0
S-00123,ST-02,PM-03,DT-0003,LabB,0.744,0
S-00124,ST-02,PM-04,DT-0003,LabB,11.557,0
S-00125,ST-03,PM-01,DT-0003,LabB,1.225,0
S-00126,ST-03,PM-02,DT-0003,LabB,0.571,0
S-00127,ST-03,PM-04,DT-0003,LabB,10.534,0
S-00128,ST-01,PM-05,DT-0003,LabB,7.772,0
S-00129,ST-01,PM-03,DT-0003,LabB,0.705,0
S-00130,ST-04,PM-05,DT-0003,LabB,7.209,0
S-00131,ST-04,PM-02,DT-0003,LabB,0.868,0
S-00132,ST-04,PM-03,DT-0003,LabB,0.357,0
S-00133,ST-02,PM-05,DT-0004,LabB,7.35,0
S-00134,ST-02,PM-02,DT-0004,LabB,0.223,0
S-00135,ST-02,PM-03,DT-0004,LabB,0.963,0
S-00136,ST-02,PM-04,DT-0004,LabB,34.568,1
S-00137,ST-03,PM-01,DT-0004,LabB,2.002,0
S-00138,ST-03,PM-02,DT-0004,LabB,0.924,0
S-00139,ST-03,PM-04,DT-0004,LabB,9.704,0
S-00140,ST-01,PM-05,DT-0004,LabB,7.163,0
S-00141,ST-01,PM-03,DT-0004,LabB,0.157,0
S-00142,ST-04,PM-05,DT-0004,LabB,16.44,1
S-00143,ST-04,PM-02,DT-0004,LabB,1.582,0
S-00144,ST-04,PM-03,DT-0004,LabB,0.359,0
S-00145,ST-02,PM-05,DT-0005,LabB,7.93,0
S-00146,ST-02,PM-02,DT-0005,LabB,1.458,0
S-00147,ST-02,PM-03,DT-0005,LabB,0.164,0
S-00148,ST-02,PM-04,DT-0005,LabB,13.412,0
S-00149,ST-03,PM-01,DT-0005,LabB,2.837,0
S-00150,ST-03,PM-02,DT-0005,LabB,1.478,0
S-00151,ST-03,PM-04,DT-0005,LabB,5.574,0
S-00152,ST-01,PM-05,DT-0005,LabB,7.118,0
S-00153,ST-01,PM-03,DT-0005,LabB,0.45,0
S-00154,ST-04,PM-05,DT-0005,LabB,7.067,0
S-00155,ST-04,PM-02,DT-0005,LabB,0.86,0
S-00156,ST-04,PM-03,DT-0005,LabB,0.436,0
S-00157,ST-02,PM-05,DT-0006,LabB,6.809,0
S-00158,ST-02,PM-02,DT-0006,LabB,0.935,0
S-00159,ST-02,PM-03,DT-0006,LabB,0.601,0
S-00160,ST-02,PM-04,DT-0006,LabB,12.877,0
S-00161,ST-03,PM-01,DT-0006,LabB,2.768,0
S-00162,ST-03,PM-02,DT-0006,LabB,1.154,0
S-00163,ST-03,PM-04,DT-0006,LabB,0.498,0
S-00164,ST-01,PM-05,DT-0006,LabB,7.171,0
S-00165,ST-01,PM-03,DT-0006,LabB,0.234,0
S-00166,ST-04,PM-05,DT-0006,LabB,7.363,0
S-00167,ST-04,PM-02,DT-0006,LabB,0.423,0
S-00168,ST-04,PM-03,DT-0006,LabB,0.248,0
S-00169,ST-02,PM-05,DT-0007,LabB,7.589,0
S-00170,ST-02,PM-02,DT-0007,LabB,2.494,1
S-00171,ST-02,PM-03,DT-0007,LabB,0,0
S-00172,ST-02,PM-04,DT-0007,LabB,5.921,0
S-00173,ST-03,PM-01,DT-0007,LabB,2.355,0
S-00174,ST-03,PM-02,DT-0007,LabB,3.448,1
S-00175,ST-03,PM-04,DT-0007,LabB,9.764,0
S-00176,ST-01,PM-05,DT-0007,LabB,6.696,0
S-00177,ST-01,PM-03,DT-0007,LabB,0.727,0
S-00178,ST-04,PM-05,DT-0007,LabB,7.738,0
S-00179,ST-04,PM-02,DT-0007,LabB,1.59,0
S-00180,ST-04,PM-03,DT-0007,LabB,0.659,0
S-00181,ST-02,PM-05,DT-0008,LabB,7.282,0
S-00182,ST-02,PM-02,DT-0008,LabB,0.4,0
S-00183,ST-02,PM-03,DT-0008,LabB,0.153,0
S-00184,ST-02,PM-04,DT-0008,LabB,20.927,0
S-00185,ST-03,PM-01,DT-0008,LabB,1.061,0
S-00186,ST-03,PM-02,DT-0008,LabB,1.593,0
S-00187,ST-03,PM-04,DT-0008,LabB,12.144,0
S-00188,ST-01,PM-05,DT-0008,LabB,7.328,0
S-00189,ST-01,PM-03,DT-0008,LabB,0.56,0
S-00190,ST-04,PM-05,DT-0008,LabB,7.691,0
S-00191,ST-04,PM-02,DT-0008,LabB,0,0
S-00192,ST-04,PM-03,DT-0008,LabB,0.521,0
S-00193,ST-02,PM-05,DT-0009,LabB,7.343,0
S-00194,ST-02,PM-02,DT-0009,LabB,0.479,0
S-00195,ST-02,PM-03,DT-0009,LabB,0.336,0
S-00196,ST-02,PM-04,DT-0009,LabB,12.217,0
S-00197,ST-03,PM-01,DT-0009,LabB,0.711,0
S-00198,ST-03,PM-02,DT-0009,LabB,0.721,0
S-00199,ST-03,PM-04,DT-0009,LabB,9.891,0
S-00200,ST-01,PM-05,DT-0009,LabB,6.963,0
S-00201,ST-01,PM-03,DT-0009,LabB,0.331,0
S-00202,ST-04,PM-05,DT-0009,LabB,7.218,0
S-00203,ST-04,PM-02,DT-0009,LabB,1.105,0
S-00204,ST-04,PM-03,DT-0009,LabB,0.227,0
S-00205,ST-02,PM-05,DT-0010,LabB,7.541,0
S-00206,ST-02,PM-02,DT-0010,LabB,0.835,0
S-00207,ST-02,PM-03,DT-0010,LabB,0.426,0
S-00208,ST-02,PM-04,DT-0010,LabB,10.163,0
S-00209,ST-03,PM-01,DT-0010,LabB,2.835,0
S-00210,ST-03,PM-02,DT-0010,LabB,0.352,0
S-00211,ST-03,PM-04,DT-0010,LabB,9.401,0
S-00212,ST-01,PM-05,DT-0010,LabB,7.122,0
S-00213,ST-01,PM-03,DT-0010,LabB,0.537,0
S-00214,ST-04,PM-05,DT-0010,LabB,7.903,0
S-00215,ST-04,PM-02,DT-0010,LabB,1.294,0
S-00216,ST-04,PM-03,DT-0010,LabB,0.931,0
S-00217,ST-02,PM-05,DT-0011,LabB,7.653,0
S-00218,ST-02,PM-02,DT-0011,LabB,0.198,0
S-00219,ST-02,PM-03,DT-0011,LabB,0.316,0
S-00220,ST-02,PM-04,DT-0011,LabB,10.543,0
S-00221,ST-03,PM-01,DT-0011,LabB,2.408,0
S-00222,ST-03,PM-02,DT-0011,LabB,0.458,0
S-00223,ST-03,PM-04,DT-0011,LabB,22.061,0
S-00224,ST-01,PM-05,DT-0011,LabB,7.334,0
S-00225,ST-01,PM-03,DT-0011,LabB,0.597,0
S-00226,ST-04,PM-05,DT-0011,LabB,14.585,1
S-00227,ST-04,PM-02,DT-0011,LabB,1.252,0
S-00228,ST-04,PM-03,DT-0011,LabB,0.164,0
S-00229,ST-02,PM-05,DT-0012,LabB,7.865,0
S-00230,ST-02,PM-02,DT-0012,LabB,0.171,0
S-00231,ST-02,PM-03,DT-0012,LabB,0.494,0
S-00232,ST-02,PM-04,DT-0012,LabB,27.366,1
S-00233,ST-03,PM-01,DT-0012,LabB,1.442,0
S-00234,ST-03,PM-02,DT-0012,LabB,0.038,0
S-00235,ST-03,PM-04,DT-0012,LabB,7.224,0
S-00236,ST-01,PM-05,DT-0012,LabB,7.366,0
S-00237,ST-01,PM-03,DT-0012,LabB,0.213,0
S-00238,ST-04,PM-05,DT-0012,LabB,6.918,0
S-00239,ST-04,PM-02,DT-0012,LabB,0.649,0
S-00240,ST-04,PM-03,DT-0012,LabB,0.587,0
