source,station,parameter,sample_date,value
LabB,Station-North-1,Dissolved Lead,2026-02-16,0
LabB,Station-North-1,Turbidity,2026-02-16,5.921
LabB,Station-North-2,Dissolved Arsenic,2026-02-16,2.355
LabB,Station-North-2,Dissolved Copper,2026-02-16,3.448
LabB,Station-North-2,Turbidity,2026-02-16,9.764
LabB,Station-East-1,pH,2026-02-16,6.696
LabB,Station-East-1,Dissolved Lead,2026-02-16,0.727
LabB,Station-South-1,pH,2026-02-16,7.738
LabB,Station-South-1,Dissolved Copper,2026-02-16,1.59
LabB,Station-South-1,Dissolved Lead,2026-02-16,0.659
LabB,Station-North-1,pH,2026-02-23,7.282
LabB,Station-North-1,Dissolved Copper,2026-02-23,0.4
LabB,Station-North-1,Dissolved Lead,2026-02-23,0.153
LabB,Station-North-1,Turbidity,2026-02-23,20.927
LabB,Station-North-2,Dissolved Arsenic,2026-02-23,1.061
LabB,Station-North-2,Dissolved Copper,2026-02-23,1.593
LabB,Station-North-2,Turbidity,2026-02-23,12.144
LabB,Station-East-1,pH,2026-02-23,7.328
LabB,Station-East-1,Dissolved Lead,2026-02-23,0.56
LabB,Station-South-1,pH,2026-02-23,7.691
LabB,Station-South-1,Dissolved Copper,2026-02-23,0
LabB,Station-South-1,Dissolved Lead,2026-02-23,0.521
LabB,Station-North-1,pH,2026-03-02,7.343
LabB,Station-North-1,Dissolved Copper,2026-03-02,0.479
LabB,Station-North-1,Dissolved Lead,2026-03-02,0.336
LabB,Station-North-1,Turbidity,2026-03-02,12.217
LabB,Station-North-2,Dissolved Arsenic,2026-03-02,0.711
LabB,Station-North-2,Dissolved Copper,2026-03-02,0.721
LabB,Station-North-2,Turbidity,2026-03-02,9.891
LabB,Station-East-1,pH,2026-03-02,6.963
LabB,Station-East-1,Dissolved Lead,2026-03-02,0.331
LabB,Station-South-1,pH,2026-03-02,7.218
LabB,Station-South-1,Dissolved Copper,2026-03-02,1.105
LabB,Station-South-1,Dissolved Lead,2026-03-02,0.227
LabB,Station-North-1,pH,2026-03-09,7.541
LabB,Station-North-1,Dissolved Copper,2026-03-09,0.835
LabB,Station-North-1,Dissolved Lead,2026-03-09,0.426
LabB,Station-North-1,Turbidity,2026-03-09,10.163
LabB,Station-North-2,Dissolved Arsenic,2026-03-09,2.835
LabB,Station-North-2,Dissolved Copper,2026-03-09,0.352
LabB,Station-North-2,Turbidity,2026-03-09,9.401
LabB,Station-East-1,pH,2026-03-09,7.122
LabB,Station-East-1,Dissolved Lead,2026-03-09,0.537
LabB,Station-South-1,pH,2026-03-09,7.903
LabB,Station-South-1,Dissolved Copper,2026-03-09,1.294
LabB,Station-South-1,Dissolved Lead,2026-03-09,0.931
LabB,Station-North-1,pH,2026-03-16,7.653
LabB,Station-North-1,Dissolved Copper,2026-03-16,0.198
LabB,Station-North-1,Dissolved Lead,2026-03-16,0.316
LabB,Station-North-1,Turbidity,2026-03-16,10.543
LabB,Station-North-2,Dissolved Arsenic,2026-03-16,2.408
LabB,Station-North-2,Dissolved Copper,2026-03-16,0.458
LabB,Station-North-2,Turbidity,2026-03-16,22.061
LabB,Station-East-1,pH,2026-03-16,7.334
LabB,Station-East-1,Dissolved Lead,2026-03-16,0.597
LabB,Station-South-1,pH,2026-03-16,14.585
LabB,Station-South-1,Dissolved Copper,2026-03-16,1.252
LabB,Station-South-1,Dissolved Lead,2026-03-16,0.164
LabB,Station-North-1,pH,2026-03-23,7.865
LabB,Station-North-1,Dissolved Copper,2026-03-23,0.171
LabB,Station-North-1,Dissolved Lead,2026-03-23,0.494
LabB,Station-North-1,Turbidity,2026-03-23,27.366
LabB,Station-North-2,Dissolved Arsenic,2026-03-23,1.442
LabB,Station-North-2,Dissolved Copper,2026-03-23,0.038
LabB,Station-North-2,Turbidity,2026-03-23,7.224
LabB,Station-East-1,pH,2026-03-23,7.366
LabB,Station-East-1,Dissolved Lead,2026-03-23,0.213
LabB,Station-South-1,pH,2026-03-23,6.918
LabB,Station-South-1,Dissolved Copper,2026-03-23,0.649
LabB,Station-South-1,Dissolved Lead,2026-03-23,0.587
